PetID,AdoptionSpeed,bert_prob_0,bert_prob_1,bert_prob_2,bert_prob_3,bert_prob_4,distilroberta_prob_0,distilroberta_prob_1,distilroberta_prob_2,distilroberta_prob_3,distilroberta_prob_4,resnet_prob_0,resnet_prob_1,resnet_prob_2,resnet_prob_3,resnet_prob_4,lgbm_fe_prob_0,lgbm_fe_prob_1,lgbm_fe_prob_2,lgbm_fe_prob_3,lgbm_fe_prob_4,lgbm_binary_prob_0,lgbm_binary_prob_1,lgbm_binary_prob_2,lgbm_binary_prob_3,lgbm_binary_prob_4
002230dea,1.0,0.051316936,0.29705158,0.2661673,0.17599069,0.20947355,0.01438942,0.32635465,0.3955174,0.17882417,0.084914334,0.14338957,0.20971458,0.23459475,0.27924356,0.13305758,0.1477905799091324,0.2263079673914941,0.3061410939824444,0.1642112934347877,0.1555490652821413,0.4593296348470217,0.1351675912882445,0.1351675912882445,0.1351675912882445,0.1351675912882445
0063f83c9,1.0,0.035229318,0.30260772,0.29059526,0.20751303,0.16405468,0.052799623,0.43942332,0.25018772,0.1327712,0.124818124,0.19118123,0.18508159,0.22492306,0.2109584,0.18785572,0.1632842111162081,0.1979326999850665,0.1823220600381453,0.17775480400473,0.2787062248558499,0.4533682871101277,0.136657928222468,0.136657928222468,0.136657928222468,0.136657928222468
0073c33d0,3.0,0.013524298,0.20216967,0.36585528,0.3423181,0.07613258,0.0058793165,0.18705879,0.46608505,0.33652574,0.0044510253,0.08804787,0.17716345,0.40633485,0.16070417,0.16774969,0.0986453829379332,0.2299214654893634,0.2449183931886886,0.3192640662964117,0.1072506920876029,0.405807489561907,0.1485481276095232,0.1485481276095232,0.1485481276095232,0.1485481276095232
00bfa5da9,4.0,0.027137928,0.15919676,0.1671659,0.15189102,0.49460834,0.00862877,0.048041627,0.11458646,0.11882517,0.70991796,0.08997845,0.0070000715,0.028596057,0.07436291,0.8000625,0.101850554834014,0.2164121375389588,0.1939504914049587,0.2023206907597641,0.2854661254623042,0.3996522195859237,0.150086945103519,0.150086945103519,0.150086945103519,0.150086945103519
00c19f4fa,2.0,0.021649513,0.24848467,0.3739679,0.27096644,0.08493155,0.007486265,0.09615502,0.50585145,0.35581407,0.03469323,0.048809938,0.054611176,0.19980817,0.5682286,0.12854213,0.1177032239538719,0.1661005938526572,0.2717740152625688,0.2300346133127155,0.2143875536181864,0.420071563205817,0.1449821091985457,0.1449821091985457,0.1449821091985457,0.1449821091985457
0142670c8,3.0,0.018408295,0.22007379,0.25374997,0.2578701,0.24989785,0.010782235,0.4243402,0.28466427,0.18390192,0.096311435,0.08826194,0.10603621,0.21553999,0.35981226,0.23034966,0.1050979511717788,0.2042749713255306,0.2581435980940355,0.1937311791633564,0.2387523002452985,0.4299615895405196,0.14250960261487,0.14250960261487,0.14250960261487,0.14250960261487
015da9e87,0.0,0.043145888,0.31374165,0.19154954,0.15232953,0.29923335,0.022848185,0.3851139,0.33138418,0.23610748,0.024546282,0.13229145,0.20448598,0.21472237,0.33313325,0.11536694,0.291927108229009,0.2482520419222285,0.2069190054883115,0.1612668186177667,0.0916350257426841,0.5164055820718536,0.1208986044820366,0.1208986044820366,0.1208986044820366,0.1208986044820366
015fdb354,2.0,0.010047175,0.2144839,0.3715077,0.3775035,0.026457768,0.008731308,0.34275883,0.32773134,0.31597483,0.004803666,0.08152554,0.12700002,0.2292379,0.30690897,0.25532764,0.1060098572306298,0.3273286606970848,0.2262462453839546,0.1793728921468773,0.1610423445414536,0.4421726076519652,0.1394568480870087,0.1394568480870087,0.1394568480870087,0.1394568480870087
017d966eb,2.0,0.027866788,0.27246332,0.22915372,0.21767108,0.25284505,0.02750663,0.27634257,0.28550538,0.15306064,0.25758478,0.09607796,0.1738728,0.2828891,0.18613341,0.26102674,0.1073394326645808,0.1764407604350653,0.2051645809767681,0.2069204824551869,0.3041347434683987,0.4194820905822534,0.1451294773544366,0.1451294773544366,0.1451294773544366,0.1451294773544366
017eda6dc,1.0,0.04314987,0.3196423,0.20844956,0.17032105,0.25843728,0.027711751,0.4300774,0.3123783,0.19074608,0.039086442,0.35091743,0.101523064,0.15593936,0.23368561,0.15793453,0.2029253266688295,0.2441964662589587,0.1731686220522293,0.1922209104056455,0.1874886746143368,0.507027711315839,0.1232430721710402,0.1232430721710402,0.1232430721710402,0.1232430721710402
